,Rank,Name,Month,Year,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,NA_Sales,Global_Sales
0,6,Minecraft,1,2016,10231056,490002 hours,64432,1538,88820,13769,659,20.88,11.28,24.159999999999997
1,6,Minecraft,2,2016,8965231,440549 hours,68098,1441,77621,12899,633,20.35,11.28,24.159999999999997
2,7,Minecraft,3,2016,10030905,448411 hours,90527,1438,78524,13500,603,22.37,11.28,24.159999999999997
3,8,Minecraft,4,2016,7605339,416176 hours,61290,1398,72014,10577,578,18.27,11.28,24.159999999999997
4,9,Minecraft,5,2016,6848639,407008 hours,41069,1215,77629,9217,547,16.83,11.28,24.159999999999997
5,10,Minecraft,6,2016,7333796,440946 hours,54277,1208,83314,10199,613,16.63,11.28,24.159999999999997
6,9,Minecraft,7,2016,7577550,444318 hours,47731,1056,90671,10198,598,17.05,11.28,24.159999999999997
7,12,Minecraft,8,2016,5871886,402260 hours,36111,1003,75700,7902,541,14.6,11.28,24.159999999999997
8,13,Minecraft,9,2016,4368646,280169 hours,32506,951,60021,6076,389,15.59,11.28,24.159999999999997
9,12,Minecraft,10,2016,4544535,288039 hours,39662,884,55027,6116,387,15.78,11.28,24.159999999999997
10,10,Minecraft,11,2016,7606529,284458 hours,82474,943,47055,10579,395,26.74,11.28,24.159999999999997
11,9,Minecraft,12,2016,8004324,323333 hours,72870,944,14232,10772,435,24.76,11.28,24.159999999999997
12,9,Minecraft,1,2017,10054852,360769 hours,91193,1134,68114,13532,485,27.87,11.28,24.159999999999997
13,14,Minecraft,2,2017,6380643,296730 hours,104992,957,52097,9509,442,21.5,11.28,24.159999999999997
14,17,Minecraft,3,2017,5623943,279486 hours,39172,925,38531,7569,376,20.12,11.28,24.159999999999997
15,13,Minecraft,4,2017,6508772,263337 hours,55946,790,37623,9052,366,24.72,11.28,24.159999999999997
16,14,Minecraft,5,2017,6402031,257749 hours,62008,776,49235,8616,346,24.84,11.28,24.159999999999997
17,17,Minecraft,6,2017,5211026,286168 hours,44423,711,55027,7247,398,18.21,11.28,24.159999999999997
18,11,Minecraft,7,2017,5440282,339711 hours,34758,769,59890,7322,457,16.01,11.28,24.159999999999997
19,12,Minecraft,8,2017,4890416,302885 hours,45352,724,52257,6581,407,16.15,11.28,24.159999999999997
20,19,Minecraft,9,2017,4021099,224026 hours,51860,684,37948,5592,311,17.95,11.28,24.159999999999997
21,23,Minecraft,10,2017,4288002,219293 hours,38970,622,35900,5771,295,19.55,11.28,24.159999999999997
22,14,Minecraft,11,2017,6273574,210939 hours,63658,654,35012,8725,293,29.74,11.28,24.159999999999997
23,20,Minecraft,12,2017,4343532,230126 hours,50986,667,39357,5845,309,18.87,11.28,24.159999999999997
24,30,Minecraft,1,2018,3998724,257452 hours,34987,681,42756,5381,346,15.53,11.28,24.159999999999997
25,26,Minecraft,2,2018,3334973,217642 hours,32807,638,36610,4970,324,15.32,11.28,24.159999999999997
26,27,Minecraft,3,2018,3626808,224520 hours,30679,596,39153,4881,302,16.15,11.28,24.159999999999997
27,25,Minecraft,4,2018,3991870,220230 hours,26687,608,38162,5551,306,18.13,11.28,24.159999999999997
28,32,Minecraft,5,2018,3074493,213467 hours,16149,544,38700,4137,287,14.4,11.28,24.159999999999997
29,35,Minecraft,6,2018,3079644,234185 hours,27186,552,43784,4283,325,13.15,11.28,24.159999999999997
30,17,Minecraft,7,2018,5193371,288429 hours,48864,687,48608,6989,388,18.01,11.28,24.159999999999997
31,21,Minecraft,8,2018,5336083,306035 hours,44143,877,47426,7181,411,17.44,11.28,24.159999999999997
32,30,Minecraft,9,2018,4038129,243973 hours,65539,682,38489,5616,339,16.55,11.28,24.159999999999997
33,27,Minecraft,10,2018,4403349,245127 hours,35072,649,37293,5926,329,17.96,11.28,24.159999999999997
34,34,Minecraft,11,2018,4162500,245158 hours,44783,744,39969,5789,340,16.98,11.28,24.159999999999997
35,25,Minecraft,12,2018,6397637,296581 hours,35755,769,49820,8610,399,21.57,11.28,24.159999999999997
36,18,Minecraft,1,2019,10827913,398412 hours,61475,1008,60229,14573,536,27.18,11.28,24.159999999999997
37,21,Minecraft,2,2019,6267012,332266 hours,82949,933,52021,9339,495,18.86,11.28,24.159999999999997
38,27,Minecraft,3,2019,5431901,391789 hours,38962,1013,61985,7310,527,13.86,11.28,24.159999999999997
39,21,Minecraft,4,2019,6147358,429837 hours,36014,1222,70852,8549,597,14.3,11.28,24.159999999999997
40,15,Minecraft,5,2019,8918471,571032 hours,75748,1467,95355,12003,768,15.62,11.28,24.159999999999997
41,13,Minecraft,6,2019,17073543,679219 hours,209184,1577,110794,23746,944,25.14,11.28,24.159999999999997
42,12,Minecraft,7,2019,18730470,1096565 hours,152011,2547,172853,25209,1475,17.08,11.28,24.159999999999997
43,9,Minecraft,8,2019,32739148,1301621 hours,233472,2979,202798,44063,1751,25.15,11.28,24.159999999999997
44,8,Minecraft,9,2019,23589113,1010450 hours,176485,2955,164966,32808,1405,23.35,11.28,24.159999999999997
45,12,Minecraft,10,2019,15065040,729787 hours,152441,2147,116877,20275,982,20.64,11.28,24.159999999999997
