Name,Hours_watched,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,NA_Sales,Global_Sales
7 Days to Die,53420415,734970,14165,461557,72976,6495,745.2699999999998,0.07,0.19
APB Reloaded,277614,17386,37,1073,399,15,25.83,0.02,0.04
Alien: Isolation,6969074,266707,1980,71724,9490,446,426.9,0.8300000000000001,2.39
Animal Crossing: New Leaf,117314,13805,16,160,163,1,83.86,2.03,9.16
Ape Escape,466182,301396,19,118,626,0,1655.03,0.71,1.67
Assassin's Creed II,341584,33045,22,613,459,4,112.03,5.66,11.36
Banjo-Kazooie,1133254,426619,90,2391,1545,15,366.07,1.87,3.6599999999999997
Banjo-Tooie,272135,104527,11,131,378,1,300.37,0.82,1.49
Barbie Horse Adventures: Wild Horse Rescue,687036,4377,33,384,924,8,106.24,0.29,0.55
Batman: Arkham City,325415,166963,14,252,437,1,330.37,6.0200000000000005,11.1
Battleborn,1898114,51128,1002,24108,2587,154,52.71,0.26,0.49000000000000005
Battlefield 1,35499929,783057,12980,754075,48502,4656,473.1199999999999,2.4899999999999998,6.71
Battlefield 4,9799137,782032,3968,311342,13472,1847,99.13,6.44,13.93
Battlefield: Bad Company 2,125333,28282,12,388,174,1,115.94,3.62,7.14
Bayonetta,396836,24966,71,1909,551,12,42.82,0.95,2.14
Berserk and the Band of the Hawk,332183,54969,137,1987,475,16,58.43,0.0,0.06
Beyond: Two Souls,496277,35283,14,953,667,2,566.5699999999999,0.52,1.63
BioShock,565996,153772,50,2638,760,12,110.48,2.4099999999999997,4.66
Blast Corps,178810,96318,18,25,240,0,4257.38,0.39,0.71
Bloodborne,49386718,1557677,8246,448861,67653,4000,1099.4900000000002,1.03,2.48
Borderlands,1772278,30059,834,12746,2464,112,21.89,3.6099999999999994,5.709999999999999
Borderlands 2,22916786,840161,6004,277606,31515,2132,603.1799999999998,3.6799999999999997,6.849999999999999
Borderlands: The Handsome Collection,128713,6191,52,2145,179,13,12.89,0.64,1.31
Borderlands: The Pre-Sequel,287491,105766,19,878,399,4,83.33,0.83,1.62
Brothers: A Tale of Two Sons,257742,165519,19,292,346,0,366.63,0.06,0.18000000000000002
Bully: Scholarship Edition,572160,37151,20,513,769,2,553.95,0.7000000000000001,1.59
Call of Duty 2,186611,34914,10,224,259,1,207.81,1.82,2.09
Call of Duty 4: Modern Warfare,795459,63398,329,7210,1085,34,93.28,9.989999999999998,18.19
Call of Duty: Black Ops,668363,47947,283,8256,904,51,52.67,17.57,30.82
Call of Duty: Black Ops II,5280675,192279,1511,73614,7220,581,174.92000000000002,14.08,29.400000000000002
Call of Duty: Ghosts,3537385,108642,568,22672,4828,150,147.01,14.94,27.4
Call of Duty: Infinite Warfare,26271534,522793,6644,342635,36151,2140,230.02000000000004,3.1100000000000003,7.02
Call of Duty: Modern Warfare 2,1729090,124993,832,27729,2340,105,179.90999999999997,13.52,24.95
Call of Duty: Modern Warfare 3,104351,8633,22,1168,140,5,25.8,15.54,30.59
Castlevania,174502,97143,9,143,234,0,268.46,0.98,1.87
Castlevania: Symphony of the Night,213140,155016,15,203,286,1,211.03,0.58,1.27
Catherine,961534,46938,72,2171,1318,14,424.28999999999996,0.5,1.01
Chess,206270597,3010962,4990,175190,284342,2012,6192.789999999997,0.05,0.09
Chrono Trigger,1552520,311385,48,1025,2134,8,621.03,0.89,3.6500000000000004
Cities: Skylines,10459687,389784,1746,83391,14325,604,780.0600000000002,0.0,0.14
Company of Heroes 2,1433728,20380,225,6375,1966,75,221.08999999999997,0.06,0.34
Condemned: Criminal Origins,156162,9644,8,190,210,0,215.99,0.36,0.41
Crash Bandicoot,399886,159957,29,172,538,0,798.18,3.23,6.82
Crash Bandicoot 2: Cortex Strikes Back,217916,158305,19,198,293,1,284.49,3.78,7.58
DC Universe Online,403808,3728,218,10566,550,70,15.57,0.51,0.74
Danganronpa 2: Goodbye Despair,1819085,63394,86,1585,2506,21,606.08,0.08,0.36
Danganronpa: Trigger Happy Havoc,1500996,33430,64,1398,2116,15,436.2,0.09,0.5700000000000001
