Genre,NA_Sales,Global_Sales,NA_Percentage
Shooter,584.8299999999952,1041.829999999985,56.13%
Platform,444.4399999999992,825.8599999999968,53.82%
Sports,671.1999999999977,1310.389999999986,51.22%
Puzzle,121.13000000000012,240.33000000000064,50.40%
Misc,394.0099999999991,783.189999999995,50.31%
Action,863.1699999999906,1717.6199999999708,50.25%
Fighting,220.51000000000016,442.6299999999993,49.82%
Racing,356.8599999999975,723.6899999999947,49.31%
Simulation,180.67000000000058,388.2199999999977,46.54%
Adventure,101.39000000000004,233.25000000000128,43.47%
Strategy,67.6900000000001,172.69000000000062,39.20%
Role-Playing,330.0399999999991,930.8999999999937,35.45%
